Bus (ID);Bus (numéro);Etat;Ligne (ID);Ligne (nom court);Code du sens;Destination;Coordonnées;Avance / Retard
415203243;415203243;En ligne;0054;54;1;;48.092573,-1.780466;31
416204698;416204698;En ligne;0051;51;0;;48.179646,-1.635327;-80
147213885;147213885;Hors-service;;;;;48.109919,-1.643475;
406590730;406590730;Hors-service;;;;;48.097114,-1.624587;
403185783;403185783;Hors-service;;;;;48.147193,-1.70571;
101347246;101347246;Hors-service;;;;;48.110873,-1.644192;
416404989;416404989;En ligne;0077;77;1;;48.118168,-1.713786;-159
148015049;148015049;En ligne;0004;C4;0;;48.108473,-1.693592;23
417005862;417005862;En ligne;0055;55;0;;48.069838,-1.930547;-94
403386074;403386074;Hors-service;;;;;48.147275,-1.70635;
1206552984;1206552984;Hors-service;;;;;48.110638,-1.642596;
404387529;404387529;Hors-service;;;;;48.096552,-1.626032;
403786656;403786656;Hors-service;;;;;48.147196,-1.705629;
1206152402;1206152402;Hors-service;;;;;48.147197,-1.706505;
82319601;82319601;Hors-service;;;;;48.110078,-1.641712;
403986947;403986947;Hors-service;;;;;48.096958,-1.626269;
1205751820;1205751820;Hors-service;;;;;48.147119,-1.706188;
414802661;414802661;En ligne;0052;52;0;;48.149841,-1.839553;0
143007774;143007774;Inconnu;0006;C6;0;;48.05608,-1.738358;
1204750365;1204750365;Hors-service;;;;;48.146875,-1.706665;
145010684;145010684;En ligne;0002;C2;1;;48.1591,-1.672632;-261
1206753275;1206753275;Hors-service;;;;;48.147359,-1.705146;
1204149492;1204149492;Hors-service;;;;;48.146957,-1.70643;
403586365;403586365;Hors-service;;;;;48.096555,-1.624592;
1204550074;1204550074;Hors-service;;;;;48.146718,-1.706988;
1203148037;1203148037;Hors-service;;;;;48.146718,-1.706988;
148215340;148215340;En ligne;0002;C2;1;;48.087941,-1.644638;64
1203748910;1203748910;Hors-service;;;;;48.147277,-1.706755;
1202547164;1202547164;Hors-service;;;;;48.146799,-1.706995;
143208065;143208065;En ligne;0003;C3;1;;48.089253,-1.682076;5
1202947746;1202947746;Hors-service;;;;;48.146634,-1.706832;
1201946291;1201946291;Hors-service;;;;;48.147198,-1.706034;
143408356;143408356;En ligne;0004;C4;0;;48.122233,-1.638634;33
1202747455;1202747455;Hors-service;;;;;48.14688,-1.706989;
1005060238;1005060238;Hors-service;;;;;48.052157,-1.717071;
1204349783;1204349783;Hors-service;;;;;48.147515,-1.705308;
1005260529;1005260529;Hors-service;;;;;48.052476,-1.716992;
1004659656;1004659656;Hors-service;;;;;48.052154,-1.717152;
1203949201;1203949201;Hors-service;;;;;48.146878,-1.706598;
1004058783;1004058783;Hors-service;;;;;48.052475,-1.717476;
1004459365;1004459365;Hors-service;;;;;48.052314,-1.716991;
1203548619;1203548619;Hors-service;;;;;48.147359,-1.706748;
1003658201;1003658201;Hors-service;;;;;48.052001,-1.717151;
1003457910;1003457910;En ligne;0061;61;1;;48.016937,-1.653938;4
1203348328;1203348328;Hors-service;;;;;48.147437,-1.705233;
1001855582;1001855582;Hors-service;;;;;48.052157,-1.717071;
1003257619;1003257619;En ligne;0061;61;0;;48.088479,-1.674998;128
1202346873;1202346873;Hors-service;;;;;48.146718,-1.706988;
807573312;807573312;Hors-service;;;;;48.099276,-1.631949;
1002656746;1002656746;Hors-service;;;;;48.05264,-1.717625;
1005460820;1005460820;Hors-service;;;;;48.052561,-1.716906;
807373021;807373021;Hors-service;;;;;48.099272,-1.632514;
1002256164;1002256164;Hors-service;;;;;48.052398,-1.716918;
1004859947;1004859947;Hors-service;;;;;48.051995,-1.71707;
807172730;807172730;Hors-service;;;;;48.099274,-1.631787;
807773603;807773603;En ligne;0067;67;1;;48.107375,-1.483018;-89
1004259074;1004259074;Hors-service;;;;;48.052157,-1.717071;
805169820;805169820;Hors-service;;;;;48.099274,-1.632918;
806772148;806772148;Hors-service;;;;;48.099674,-1.632832;
1003858492;1003858492;En ligne;0074;74;1;;48.041456,-1.685521;11
804769238;804769238;Hors-service;;;;;48.099592,-1.631708;
806371566;806371566;Hors-service;;;;;48.099596,-1.632986;
1003057328;1003057328;Hors-service;;;;;48.052553,-1.71755;
804168365;804168365;Hors-service;;;;;48.099359,-1.632589;
806171275;806171275;Hors-service;;;;;48.099515,-1.632993;
1002857037;1002857037;Hors-service;;;;;48.052157,-1.717071;
803367201;803367201;Hors-service;;;;;48.098955,-1.633468;
805970984;805970984;Hors-service;;;;;48.099515,-1.632993;
1002456455;1002456455;Hors-service;;;;;48.052637,-1.717477;
802165455;802165455;Hors-service;;;;;48.099434,-1.632986;
804969529;804969529;En ligne;0080;80;0;;47.977047,-1.706406;23
1001655291;1001655291;Hors-service;;;;;48.052395,-1.716985;
801965164;801965164;Hors-service;;;;;48.099439,-1.63195;
803567492;803567492;Hors-service;;;;;48.098952,-1.633549;
806972439;806972439;Hors-service;;;;;48.099278,-1.632595;
801764873;801764873;Hors-service;;;;;48.099036,-1.633476;
605079111;605079111;Hors-service;;;;;48.079999,-1.735148;
806571857;806571857;Hors-service;;;;;48.0992,-1.632508;
606080566;606080566;Hors-service;;;;;48.079438,-1.734748;
604678529;604678529;Hors-service;;;;;48.079513,-1.734916;
805370111;805370111;Hors-service;;;;;48.099278,-1.630994;
605679984;605679984;Hors-service;;;;;48.079755,-1.735395;
603877365;603877365;Hors-service;;;;;48.079521,-1.735388;
804568947;804568947;Hors-service;;;;;48.0992,-1.632508;
605479693;605479693;Hors-service;;;;;48.079993,-1.735309;
603276492;603276492;Hors-service;;;;;48.079993,-1.735067;
